(-0.4848162000, 1.1878680000, 0.5005221000),(-0.0249239300, -0.1987526000, 0.0112195300, 0.9796685000),2/19/2021 11:00:31 AM
(-0.4850287000, 1.1871600000, 0.5007167000),(-0.0238784100, -0.1990456000, 0.0112406900, 0.9796348000),2/19/2021 11:00:31 AM
(-0.4849730000, 1.1868650000, 0.5012643000),(-0.0239662300, -0.1997474000, 0.0112942100, 0.9794892000),2/19/2021 11:00:31 AM
(-0.4850050000, 1.1873810000, 0.5006062000),(-0.0249612800, -0.1994270000, 0.0109564800, 0.9795334000),2/19/2021 11:00:31 AM
(-0.4849133000, 1.1873190000, 0.5007151000),(-0.0258314800, -0.1991879000, 0.0102792700, 0.9795669000),2/19/2021 11:00:31 AM
(-0.4850096000, 1.1873890000, 0.5007637000),(-0.0253705900, -0.1990258000, 0.0108844100, 0.9796054000),2/19/2021 11:00:32 AM
(-0.4849704000, 1.1877510000, 0.5006773000),(-0.0255129800, -0.1991137000, 0.0107451000, 0.9795853000),2/19/2021 11:00:32 AM
(-0.4848405000, 1.1876690000, 0.5007613000),(-0.0250244600, -0.1987601000, 0.0110247800, 0.9796667000),2/19/2021 11:00:32 AM
(-0.4845842000, 1.1871900000, 0.5011057000),(-0.0250095500, -0.1987529000, 0.0106804000, 0.9796723000),2/19/2021 11:00:32 AM
(-0.4849254000, 1.1876670000, 0.4999737000),(-0.0259349500, -0.1996729000, 0.0114045000, 0.9794530000),2/19/2021 11:00:32 AM
(-0.4848941000, 1.1875870000, 0.5001103000),(-0.0270198300, -0.1993874000, 0.0110943300, 0.9794853000),2/19/2021 11:00:32 AM
(-0.4847938000, 1.1871450000, 0.5004234000),(-0.0272539100, -0.1993018000, 0.0104384900, 0.9795035000),2/19/2021 11:00:32 AM
(-0.4849399000, 1.1876000000, 0.5000458000),(-0.0270690500, -0.1995717000, 0.0106236100, 0.9794517000),2/19/2021 11:00:32 AM
(-0.4853193000, 1.1872890000, 0.5004152000),(-0.0260606000, -0.2004330000, 0.0114765900, 0.9792935000),2/19/2021 11:00:32 AM
(-0.4847450000, 1.1875100000, 0.5001094000),(-0.0262273600, -0.1991715000, 0.0112133200, 0.9795495000),2/19/2021 11:00:32 AM
(-0.4846888000, 1.1873960000, 0.5005046000),(-0.0263689500, -0.1993060000, 0.0109173900, 0.9795216000),2/19/2021 11:00:33 AM
(-0.4848828000, 1.1873300000, 0.5005721000),(-0.0260812700, -0.2002419000, 0.0113634300, 0.9793334000),2/19/2021 11:00:33 AM
(-0.4853265000, 1.1873550000, 0.5003297000),(-0.0255562900, -0.2003684000, 0.0112964500, 0.9793221000),2/19/2021 11:00:33 AM
(-0.4855844000, 1.1873890000, 0.5004338000),(-0.0265076600, -0.2005886000, 0.0108894500, 0.9792563000),2/19/2021 11:00:33 AM
(-0.4852498000, 1.1872580000, 0.5008360000),(-0.0250913600, -0.2001012000, 0.0114265900, 0.9793873000),2/19/2021 11:00:33 AM
(-0.4852462000, 1.1873330000, 0.5005631000),(-0.0254837400, -0.2007434000, 0.0112745800, 0.9792475000),2/19/2021 11:00:33 AM
(-0.4850281000, 1.1869430000, 0.5008003000),(-0.0260037900, -0.2009817000, 0.0107659300, 0.9791906000),2/19/2021 11:00:33 AM
(-0.4848812000, 1.1873990000, 0.5003331000),(-0.0273385400, -0.2009519000, 0.0109730700, 0.9791581000),2/19/2021 11:00:33 AM
(-0.4848229000, 1.1875700000, 0.5001112000),(-0.0278676900, -0.2008878000, 0.0109411300, 0.9791567000),2/19/2021 11:00:33 AM
